1.888150448720272045e+00 1.737733288722070668e+00 1.665384585464518841e+00 1.644234747372050665e+00 1.659249699725848792e+00 1.701243849731869151e+00 1.764095769449870899e+00 1.843526801594204789e+00 1.936407565511133022e+00 2.040400195525357674e+00
1.305148369829677746e+00 1.190222175659870540e+00 1.147419251989964861e+00 1.151702835190401286e+00 1.189134110562153790e+00 1.251227881679278786e+00 1.332412143874859733e+00 1.428800814684145104e+00 1.537575861979755043e+00 1.656620126854321473e+00
8.503982407025183488e-01 7.507743649253590945e-01 7.231688672989259326e-01 7.420885563204461244e-01 7.934621367112477675e-01 8.688103212461447677e-01 9.626265202277164423e-01 1.071114753725021407e+00 1.191539606931468098e+00 1.321863243654404441e+00
5.332811669365733476e-01 4.286420931706495518e-01 4.015900445977432232e-01 4.240384390491079292e-01 4.805968541300253416e-01 5.620799803489198165e-01 6.625914883444892212e-01 7.781159384771210163e-01 9.057906929454105915e-01 1.043502546166754863e+00
3.521053745331326201e-01 2.231171356681884155e-01 1.825230225299785958e-01 1.977407606166712295e-01 2.509642656617082079e-01 3.316363070477541530e-01 4.330414277553998881e-01 5.506545634078158225e-01 6.812841225670895895e-01 8.225966519221601381e-01
2.999649365757320885e-01 1.287126100668175011e-01 6.140310160460819844e-02 5.927625693006272761e-02 1.011317558162194846e-01 1.744291301537385097e-01 2.712385577816003313e-01 3.862584306906873266e-01 5.157802107030312611e-01 6.571159414949293565e-01
3.672901689268883718e-01 1.374923178168515614e-01 3.141386748165747589e-02 2.645030673908847600e-03 2.572105815053182809e-02 8.557554102756130543e-02 1.727078903737321869e-01 2.807970258506470307e-01 4.054486720828838209e-01 5.434974060315727051e-01
5.432926981722410176e-01 2.403790284643559927e-01 8.468305075111839941e-02 2.086628201955993342e-02 1.844216009882507223e-02 5.933967886227994176e-02 1.321716502144985039e-01 2.293818516714780653e-01 3.457372438281623439e-01 4.774840100821423627e-01
8.168017239895623005e-01 4.279191424490836893e-01 2.129837142754477664e-01 1.066311162012405778e-01 7.270137564228067173e-02 8.970363543563315833e-02 1.440880157530564365e-01 2.268735506698468518e-01 3.318541320513377357e-01 4.545905288014789880e-01
1.176811007039056278e+00 6.907696833053164065e-01 4.081726410119407289e-01 2.527007709324050611e-01 1.819670013242479234e-01 1.707060559009754841e-01 2.029679374099140343e-01 2.681826017393629247e-01 3.590541286101666119e-01 4.703726959478127245e-01
