1.790500675188494206e+00 1.658270532184985102e+00 1.583042377384261234e+00 1.548061619349358153e+00 1.542756111360706450e+00 1.560114339558366314e+00 1.595308752116044948e+00 1.644896839409359934e+00 1.706348008689262619e+00 1.777721891363254425e+00 1.857511885472495239e+00 1.944520166897346858e+00
1.319367723666993175e+00 1.211193472681939109e+00 1.156702152887445045e+00 1.139906759145760562e+00 1.150829130137740686e+00 1.182889963396531963e+00 1.231573801760144526e+00 1.293676045109394046e+00 1.366837879278916867e+00 1.449279861421257642e+00 1.539611054849314709e+00 1.636724633875036083e+00
9.384937929024901315e-01 8.429611830499282865e-01 8.005455490703727861e-01 7.951501551848452198e-01 8.168243677694083660e-01 8.590534411125941849e-01 9.173956450729179313e-01 9.887111571845251801e-01 1.070706036818477758e+00 1.161650571414406752e+00 1.260204731201840733e+00 1.365306764984109966e+00
6.501150427704931456e-01 5.560724124699583104e-01 5.171874895254980897e-01 5.164391447993130768e-01 5.433788075416892127e-01 5.912164856233196319e-01 6.553486807616917265e-01 7.325402123112910724e-01 8.204405901075157992e-01 9.172886333209071541e-01 1.021729269536435281e+00 1.132693553022520838e+00
4.516860939189101254e-01 3.485810600210812460e-01 3.051012326385269535e-01 3.025379693511717205e-01 3.294706920809688522e-01 3.785186370531648525e-01 4.447025262002753943e-01 5.245402308084587961e-01 6.155157120398543347e-01 7.157554967706548643e-01 8.238263009966514394e-01 9.386053752248071369e-01
3.383328797818053735e-01 2.163594726609701091e-01 1.607068749127331109e-01 1.502825525664195361e-01 1.722592007339612263e-01 2.183789462185625752e-01 2.830908434709776267e-01 3.625274000117844619e-01 4.539062784945872009e-01 5.551662720664267692e-01 6.647394185945922906e-01 7.814048761906731144e-01
3.040336025117288399e-01 1.541958115607686142e-01 7.940223769158299971e-02 5.554276780310639372e-02 6.798960705062545573e-02 1.073491030690051362e-01 1.673214013548182388e-01 2.435281784217339096e-01 3.328292326012811109e-01 4.329072805518476841e-01 5.420076529084540962e-01 6.587709251632599683e-01
3.422502189822159702e-01 1.563890743256070581e-01 5.612282556751649332e-02 1.375249884719462364e-02 1.249626907005437805e-02 4.159284590837004913e-02 9.383472686038885069e-02 1.642199557942864985e-01 2.491682462938140941e-01 3.460446845195896404e-01 4.528608619607999985e-01 5.680823321805692494e-01
4.463416499250553171e-01 2.171256450314882347e-01 8.568761298885849143e-02 2.022924630712441205e-02 1.499711229620025394e-03 1.716378618465609282e-02 5.896508058877757141e-02 1.211778539418959799e-01 1.997083585621743929e-01 2.915490415894859133e-01 3.944357443668041752e-01 5.066263031306634801e-01
6.097827945768196090e-01 3.306865663254023868e-01 1.629961517290554052e-01 7.036144323645197873e-02 3.078456879528025311e-02 3.017478252551498985e-02 5.910240073315577158e-02 1.110295018012312784e-01 1.812842750824208427e-01 2.664377590341698299e-01 3.639128880697808377e-01 4.717308216588990688e-01
8.263214570667786196e-01 4.915910488157384517e-01 2.831583343027859190e-01 1.597264421101280973e-01 9.630793590408640026e-02 7.689795866046074402e-02 9.078497542004972110e-02 1.305417218743882002e-01 1.908614858781432222e-01 2.678517758497656609e-01 3.585897886539140544e-01 4.608345014821143559e-01
1.090069606620223563e+00 6.946759327864935329e-01 4.415669754808053682e-01 2.841578148330374809e-01 1.942616490049514921e-01 1.538226057065493479e-01 1.507536008865387467e-01 1.766712917479688616e-01 2.255852067382692616e-01 2.931021850302739651e-01 3.759253575617670928e-01 4.715293298686987766e-01
