4.023035383136591231e-52,4.124888673501466579e-53,1.321069413663875030e-53,1.357949487520673468e-53,4.472910972621126833e-53,4.609182038963193538e-52,2.053411842224694356e-51,1.894747498419453888e-50,3.937169619886730176e-49,2.540815959601995901e-47,5.036287233830344601e-45,1.960821094186197414e-42,7.317784899622872858e-40,1.201037910899230998e-37,4.566676288150280870e-36,2.805940832498765119e-35
2.953235529773929697e-52,2.506733719255656907e-53,7.260058505812865562e-54,7.481381102364812267e-54,2.737253671136614555e-53,3.421035625796225018e-52,1.783033525751532385e-51,2.030870470724899780e-50,6.334615429107796448e-49,8.604713392001259871e-47,5.009516133738960776e-44,6.953418842629364950e-41,9.250343734651838807e-38,4.461528487194370667e-35,3.528368830656712742e-33,3.025520447553389949e-32
2.207642755702561982e-52,1.565846512252258314e-53,4.116461948047983253e-54,4.252194178606899105e-54,1.721314576640058836e-53,2.584022747869739447e-52,1.556923866332882064e-51,2.167868497873458910e-50,1.026424701862378637e-48,3.106766984955925633e-46,5.819142448933306089e-43,3.196357565490692127e-39,1.679210001859579721e-35,2.585050915380144393e-32,4.463873417365328241e-30,5.396587992194665383e-29
1.681646706900421224e-52,1.006350331045803965e-53,2.411526219962608388e-54,2.496813487636987068e-54,1.113342987560918419e-53,1.987591395338894557e-52,1.368966496944435634e-51,2.306990971501166529e-50,1.673432032639204365e-48,1.186919735878167329e-45,7.729682713898834138e-42,1.837158954823914182e-37,4.155389045999126471e-33,2.192168817292304693e-29,8.640136417633498656e-27,1.479162804363470899e-25
1.305935101761266745e-52,6.660848770936452808e-54,1.461803189473368880e-54,1.516839658485516514e-54,7.413608785793563176e-54,1.557605855303947830e-52,1.213260888712310249e-51,2.448705266898869817e-50,2.738420829030656816e-48,4.741043295062322198e-45,1.141302785012545540e-40,1.258355895347981669e-35,1.310425526546698140e-30,2.504650397595144620e-26,2.327138691123904345e-23,5.662777320941002259e-22
1.034343934895945158e-52,4.544772227380791611e-54,9.182601918720078017e-55,9.548132106403436711e-55,5.087101425640845745e-54,1.244128737555304701e-52,1.084562993402235934e-51,2.592700998084441680e-50,4.480311767263602169e-48,1.947613357005543320e-44,1.805791535005664505e-39,9.674637598290065539e-34,4.849785601220195222e-28,3.479528888849840698e-23,7.786739141716168903e-20,2.691834454756394547e-18
8.358600138243478677e-53,3.199703914679890491e-54,5.986302092655520398e-55,6.236664192528558501e-55,3.600397851896884510e-54,1.013199845357479200e-52,9.784067704841563515e-52,2.737962028458456088e-50,7.290082732616272772e-48,8.067503121608526149e-44,2.935717009358805801e-38,7.769753891401750489e-32,1.906590574197616287e-25,5.202457363136357836e-20,2.823829697592634882e-16,1.379860763352318378e-14
6.893525187588909142e-53,2.326579616437874868e-54,4.055769518342406710e-55,4.232934512666418596e-55,2.630584598024975732e-54,8.415281126415281487e-53,8.910827019206889103e-52,2.882769654362808231e-50,1.171977749250121867e-47,3.287625105949443977e-43,4.654352706498042434e-37,6.013170501318382141e-30,7.095549398408137434e-23,7.271959497746909745e-17,9.474083091929578960e-13,6.472084962197052110e-11
5.803725204926845601e-53,1.748665986771970538e-54,2.859393238006120394e-55,2.989130922842283610e-55,1.985793241556580928e-54,7.130160147027026541e-53,8.195597445923609804e-52,3.024725728525783153e-50,1.847266787984971072e-47,1.282487896857935440e-42,6.798522163035065327e-36,4.081603652945581117e-28,2.208227983200760081e-20,8.120191836118253308e-14,2.464896466583526345e-09,2.322170027121930856e-07
4.989702240629404739e-53,1.359615784877432961e-54,2.100270466280565221e-55,2.198732860644294812e-55,1.549974014515520804e-54,6.164200171153255908e-53,7.613934928818263986e-52,3.160815504251560996e-50,2.830267157626128828e-47,4.647668017084752280e-42,8.602619794043009858e-35,2.201644946532358342e-26,4.994047589060412957e-18,6.116378322320081185e-11,4.113440331431708291e-06,5.219154446819961610e-04
4.381519044876567666e-53,1.094334911017438665e-54,1.608928945683448265e-55,1.686473104097580731e-55,1.251751488803557459e-54,5.438989736007511580e-53,7.146262193334893385e-52,3.287564117083586500e-50,4.176784939155853727e-47,1.516186992724527581e-41,8.835229136219249678e-34,8.508269171473925386e-25,7.136958290211560489e-16,2.614080323921611246e-08,3.621354864042164445e-03,6.008618603460488261e-01
3.930450156500757676e-53,9.123778987250290164e-55,1.286645968290335773e-55,1.350088635211296320e-55,1.046580223283601471e-54,4.898875117785764701e-53,6.777209950324942254e-52,3.401189919652498452e-50,5.882182551100728324e-47,4.314090103918460124e-41,6.933036944845809874e-33,2.139183412717060439e-23,5.601683007995208806e-14,5.348029681889454759e-06,1.390347190378564690e+00,2.908981800121902097e+02
3.602467219340503864e-53,7.883413728597896603e-55,1.074928633314614262e-55,1.128900459132405708e-55,9.063694958473772485e-55,4.504763083231107062e-53,6.494892483898881844e-52,3.497856264699235403e-50,7.834963214084235973e-47,1.038542972424990523e-40,3.905948727510432866e-32,3.178148882297032964e-22,2.148256758221275526e-12,4.493533237541183414e-04,1.959369079144584020e+02,4.953951250125121442e+04
3.374092123435240046e-53,7.062372043465240154e-55,9.387966644950191499e-56,9.865744596843893788e-56,8.133780270411909436e-55,4.229595191241306162e-53,6.290376646767492619e-52,3.573962060253065614e-50,9.791346682422395434e-47,2.061227112343227135e-40,1.500682684507478551e-31,2.581306160574600162e-21,3.597811062465900653e-11,1.367926125528758606e-02,8.814678371317955680e+03,2.568777390834438615e+06
3.229667372246065841e-53,6.561768659037631534e-55,8.575137376887076765e-56,9.015487931408058910e-56,7.566013421158579301e-55,4.055250865177288032e-53,6.157279753190503915e-52,3.626450623262657667e-50,1.140468715176819968e-46,3.297144800319887670e-40,3.771956246801998396e-31,1.078688721350866599e-20,2.445272462233812693e-10,1.383054593841968605e-01,1.152563375116094248e+05,3.685252636327828467e+07
